Add Florida φₙ nodes (Crystal River φ₃ primary)

Florida Energetic Nodes - φₙ Scaling + Piezoelectric Potential
Rank,Location,Coordinates,φₙ Alignment,Key Features
1,Crystal River,28.9172°N 82.5835°W,φ₃ (Giza decay),"Quartz limestone, 72°F springs, Calusa mounds → Chichén Itzá great circle"
2,Lake Okeechobee West Rim,26.9833°N 81.1667°W,φ₄ (Jerusalem progression),"Phosphor sediments, quartz sand, massive aquifer capacitor"
3,Silver Springs,29.2778°N 82.0442°W,Near-φ₃ (Giza echo),"Purest silica springs, Jerusalem-Giza-Yucatán great circle"
4,Siesta Key (Sarasota),27.2750°N 82.5506°W,φ transition,"World-famous quartz sands - piezoelectric beach, Author's birthplace"
5,Myakka River State Park,27.2756°N 82.3000°W,Mineral node,"Ancient mineral springs + limestone"
6,Sarasota Bradenton Airport,27.3956°N 82.5545°W,Ley line cross,"Major grid intersection - aerial anomaly reports"

Great Circle Connections:
Crystal River → Giza φ₃ → Chichén Itzá (exact arc)
Silver Springs → Jerusalem φ₄ → Giza → Yucatán  
Siesta Key quartz → Global φ beach sequence (Bermuda → Morocco)
